Training: 2021-04-10 19:44:24,605-rank_id: 0
Training: 2021-04-10 21:06:35,764-Speed 766.71 samples/sec   Loss 15.3083   Epoch: 0   Global Step: 7000   Required: 56 hours
Training: 2021-04-10 21:07:09,355-Speed 762.12 samples/sec   Loss 15.3967   Epoch: 0   Global Step: 7050   Required: 56 hours
Training: 2021-04-10 21:07:43,121-Speed 758.16 samples/sec   Loss 15.1891   Epoch: 0   Global Step: 7100   Required: 56 hours
Training: 2021-04-10 21:08:17,045-Speed 754.64 samples/sec   Loss 15.2214   Epoch: 0   Global Step: 7150   Required: 56 hours
Training: 2021-04-10 21:08:50,568-Speed 763.66 samples/sec   Loss 14.9688   Epoch: 0   Global Step: 7200   Required: 56 hours
Training: 2021-04-10 21:09:24,124-Speed 762.92 samples/sec   Loss 15.2687   Epoch: 0   Global Step: 7250   Required: 56 hours
Training: 2021-04-10 21:09:57,803-Speed 760.13 samples/sec   Loss 15.2018   Epoch: 0   Global Step: 7300   Required: 56 hours
Training: 2021-04-10 21:10:31,225-Speed 765.98 samples/sec   Loss 15.1124   Epoch: 0   Global Step: 7350   Required: 56 hours
Training: 2021-04-10 21:11:04,764-Speed 763.28 samples/sec   Loss 15.1760   Epoch: 0   Global Step: 7400   Required: 56 hours
Training: 2021-04-10 21:11:38,468-Speed 759.57 samples/sec   Loss 15.0684   Epoch: 0   Global Step: 7450   Required: 56 hours
Training: 2021-04-10 21:12:12,050-Speed 762.34 samples/sec   Loss 15.0752   Epoch: 0   Global Step: 7500   Required: 56 hours
Training: 2021-04-10 21:12:45,654-Speed 761.82 samples/sec   Loss 15.2035   Epoch: 0   Global Step: 7550   Required: 56 hours
Training: 2021-04-10 21:13:19,295-Speed 760.98 samples/sec   Loss 14.9052   Epoch: 0   Global Step: 7600   Required: 56 hours
Training: 2021-04-10 21:13:52,804-Speed 763.99 samples/sec   Loss 14.9987   Epoch: 0   Global Step: 7650   Required: 56 hours
Training: 2021-04-10 21:14:26,166-Speed 767.33 samples/sec   Loss 14.9169   Epoch: 0   Global Step: 7700   Required: 56 hours
Training: 2021-04-10 21:14:59,572-Speed 766.36 samples/sec   Loss 15.0490   Epoch: 0   Global Step: 7750   Required: 56 hours
Training: 2021-04-10 21:15:33,293-Speed 759.18 samples/sec   Loss 14.9584   Epoch: 0   Global Step: 7800   Required: 56 hours
Training: 2021-04-10 21:16:07,034-Speed 758.74 samples/sec   Loss 14.9043   Epoch: 0   Global Step: 7850   Required: 56 hours
Training: 2021-04-10 21:16:40,638-Speed 761.81 samples/sec   Loss 14.9348   Epoch: 0   Global Step: 7900   Required: 56 hours
Training: 2021-04-10 21:17:14,164-Speed 763.60 samples/sec   Loss 14.9682   Epoch: 0   Global Step: 7950   Required: 56 hours
Training: 2021-04-10 21:17:47,550-Speed 766.81 samples/sec   Loss 14.9133   Epoch: 0   Global Step: 8000   Required: 56 hours
Training: 2021-04-10 21:18:21,139-Speed 762.16 samples/sec   Loss 14.8482   Epoch: 0   Global Step: 8050   Required: 55 hours
Training: 2021-04-10 21:18:54,620-Speed 764.63 samples/sec   Loss 14.8402   Epoch: 0   Global Step: 8100   Required: 55 hours
Training: 2021-04-10 21:19:28,089-Speed 764.90 samples/sec   Loss 14.7290   Epoch: 0   Global Step: 8150   Required: 55 hours
